data,ticker,preco_fechamento_ajustado,volume_negociado,dy
2021-07-31,ABCB4,12.75,10180349.0,0.06233805798657718
2021-08-31,ABCB4,14.31,21501383.0,0.04603492564255828
2021-09-30,ABCB4,12.74,13327658.0,0.05172359341840162
2021-10-31,ABCB4,13.17,32214800.0,0.06597526701777486
2021-11-30,ABCB4,14.67,27854123.0,0.05919458393384525
2021-12-31,ABCB4,13.75,20390772.0,0.07902736647763076
2022-01-31,ABCB4,13.92,13780549.0,0.05782828282828283
2022-02-28,ABCB4,13.71,21432363.0,0.05871794871794872
2022-03-31,ABCB4,15.14,35501728.0,0.058966918165989556
2022-04-30,ABCB4,14.1,28379427.0,0.06430379746835443
2022-05-31,ABCB4,14.29,22542394.0,0.06346033728919424
2022-06-30,ABCB4,13.85,15578886.0,0.07403350515463918
2022-07-31,ABCB4,15.68,10541702.0,0.06668601276842716
2022-08-31,ABCB4,17.64,11133796.0,0.0592573491490459
2022-09-30,ABCB4,19.02,22547821.0,0.07229665071770335
2022-10-31,ABCB4,19.08,18961212.0,0.061907066795740553
2022-11-30,ABCB4,18.13,12231517.0,0.0651553744268976
2022-12-31,ABCB4,18.14,14905024.0,0.08396130346232179
2023-01-31,ABCB4,18.01,18932787.0,0.07279833246482542
2023-02-28,ABCB4,17.03,23253839.0,0.07696969696969698
2023-03-31,ABCB4,15.8,14090687.0,0.06440879382055854
2023-04-30,ABCB4,15.69,8433564.0,0.06483253588516748
2023-05-31,ABCB4,15.62,17220528.0,0.06514423076923077
2023-06-30,ABCB4,17.9,25102075.0,0.08222338751966439
2023-07-31,ABCB4,18.23,14274153.0,0.08385026737967914
2023-08-31,ABCB4,18.1,16384731.0,0.08443726440495422
2023-09-30,ABCB4,19.41,12326701.0,0.07875439477649422
2023-10-31,ABCB4,18.24,9140244.0,0.064457509353287
2023-11-30,ABCB4,21.44,10098714.0,0.0548431105047749
2014-01-31,ABEV3,11.66,210965109.0,0.015786202610316966
2014-02-28,ABEV3,12.23,226621184.0,0.015047393364928911
2014-03-31,ABEV3,12.28,211706611.0,0.014985250737463127
2014-04-30,ABEV3,11.9,640093516.0,0.023558282208588955
2014-05-31,ABEV3,11.58,226051528.0,0.02421185372005044
2014-06-30,ABEV3,11.5,161325772.0,0.024365482233502538
2014-07-31,ABEV3,11.54,318566498.0,0.03471601786853861
2014-08-31,ABEV3,12.0,351019344.0,0.033374233128834356
2014-09-30,ABEV3,11.81,184957884.0,0.03391521197007482
2014-10-31,ABEV3,12.25,416493175.0,0.04658536585365854
2014-11-30,ABEV3,12.59,162076191.0,0.04534124629080118
2014-12-31,ABEV3,12.21,153934228.0,0.0546788990825688
2015-01-31,ABEV3,13.32,328603403.0,0.04174702212138401
2015-02-28,ABEV3,13.86,356119901.0,0.045038167938931305
